order_id,order_date,ship_date,customer_id,product_id,quantity,unit_price_gbp,status
O60000,2024-07-13,2024-07-20,C40105,P50018,6,77.9,Shipped
O60001,2025-11-03,2025-11-05,C40043,P50057,5,73.46,Cancelled
O60002,2025-09-16,2025-09-23,C40087,P50055,8,72.83,Shipped
O60003,2024-08-27,2024-09-03,C40089,P50043,6,101.29,Shipped
O60004,2024-11-29,2024-11-29,C40106,P50053,5,113.98,Shipped
O60005,2025-02-20,2025-02-26,C40286,P50048,6,56.78,Shipped
O60006,2024-06-30,2024-07-01,C40202,P50023,2,92.57,Shipped
O60007,2025-08-30,2025-09-04,C40057,P50042,7,92.45,Shipped
O60008,2025-02-17,2025-02-19,C40211,P50045,2,38.61,Pending
O60009,2024-05-31,2024-06-03,C40016,P50008,1,110.24,Shipped
O60010,2024-12-19,2024-12-21,C40019,P50054,1,65.34,Shipped
O60011,2025-08-23,2025-08-31,C40193,P50029,1,84.73,Shipped
O60012,2024-11-05,2024-11-14,C40065,P50018,1,81.54,Pending
O60013,2025-06-03,2025-06-10,C40131,P50028,1,68.2,Shipped
O60014,2025-12-20,2025-12-27,C40247,P50019,3,76.27,Shipped
O60015,2024-09-01,2024-09-04,C40116,P50019,9,50.71,Shipped
O60016,2025-12-29,2025-12-30,C40057,P50032,1,126.61,Shipped
O60017,2024-10-29,2024-11-03,C40299,P50059,7,100.86,Shipped
O60018,2025-02-14,2025-02-18,C40085,P50024,8,76.95,Shipped
O60019,2025-07-19,2025-07-21,C40197,P50012,8,107.18,Shipped
O60020,2024-02-19,2024-02-21,C40048,P50045,4,56.34,Shipped
O60021,2025-05-27,2025-05-28,C40048,P50017,1,118.77,Shipped
O60022,2025-02-18,2025-02-26,C40226,P50032,4,92.42,Shipped
O60023,2025-04-24,2025-04-27,C40269,P50015,6,51.43,Shipped
O60024,2025-11-27,2025-12-06,C40008,P50012,7,72.43,Pending
O60025,2024-12-20,2024-12-26,C40292,P50015,2,52.79,Shipped
O60026,2025-11-07,2025-11-08,C40090,P50021,3,115.17,Shipped
O60027,2025-02-19,2025-02-19,C40295,P50057,6,73.28,Shipped
O60028,2024-06-06,2024-06-10,C40159,P50040,7,6.7,Shipped
O60029,2025-04-22,2025-04-22,C40229,P50041,3,113.73,Shipped
O60030,2024-05-18,2024-05-27,C40001,P50003,8,60.48,Shipped
O60031,2025-10-19,2025-10-28,C40047,P50000,8,135.83,Pending
O60032,2024-04-21,2024-04-27,C40286,P50020,4,151.24,Shipped
O60033,2024-12-30,2025-01-01,C40049,P50053,5,104.42,Shipped
O60034,2025-08-22,2025-08-30,C40260,P50000,5,150.59,Shipped
O60035,2024-01-07,2024-01-13,C40035,P50045,7,40.19,Shipped
O60036,2024-12-24,2024-12-27,C40194,P50049,3,79.11,Shipped
O60037,2025-01-05,2025-01-13,C40111,P50016,3,114.3,Shipped
O60038,2024-09-04,2024-09-06,C40131,P50007,4,82.74,Pending
O60039,2025-05-06,2025-05-11,C40213,P50009,2,146.79,Pending
O60040,2024-08-25,2024-08-31,C40046,P50004,6,121.62,Shipped
O60041,2024-09-30,2024-10-09,C40103,P50050,9,41.71,Shipped
O60042,2024-07-20,2024-07-21,C40166,P50047,4,97.3,Shipped
O60043,2025-04-01,2025-04-03,C40108,P50040,8,7.08,Shipped
O60044,2025-10-07,2025-10-15,C40071,P50005,5,50.35,Shipped
O60045,2024-05-09,2024-05-13,C40013,P50057,2,85.47,Shipped
O60046,2024-10-26,2024-11-02,C40191,P50041,5,93.61,Shipped
O60047,2024-06-14,2024-06-21,C40018,P50049,5,86.44,Shipped
O60048,2024-06-27,2024-06-30,C40043,P50022,1,60.08,Shipped
O60049,2025-12-11,2025-12-14,C40071,P50011,5,84.86,Pending
O60050,2025-06-03,2025-06-07,C40215,P50049,2,66.54,Shipped
O60051,2025-11-21,2025-11-21,C40036,P50003,8,72.9,Cancelled
O60052,2025-04-09,2025-04-16,C40096,P50010,5,59.55,Shipped
O60053,2025-05-02,2025-05-03,C40022,P50009,3,123.94,Shipped
O60054,2025-06-06,2025-06-15,C40150,P50005,1,56.03,Shipped
O60055,2025-04-22,2025-04-29,C40054,P50033,6,73.91,Shipped
O60056,2025-08-23,2025-08-26,C40048,P50013,7,57.1,Shipped
O60057,2024-08-26,2024-08-26,C40096,P50057,4,63.11,Shipped
O60058,2024-03-15,2024-03-22,C40076,P50055,9,57.49,Shipped
O60059,2024-12-23,2024-12-27,C40014,P50010,2,70.1,Pending
O60060,2024-01-02,2024-01-03,C40135,P50049,7,56.24,Shipped
O60061,2024-02-04,2024-02-08,C40150,P50002,5,51.83,Shipped
O60062,2024-02-06,2024-02-15,C40137,P50017,3,143.98,Pending
O60063,2024-02-26,2024-03-03,C40132,P50039,3,79.26,Shipped
O60064,2025-05-31,2025-06-06,C40299,P50012,5,99.47,Cancelled
O60065,2025-03-12,2025-03-17,C40082,P50004,1,122.34,Shipped
O60066,2025-11-14,2025-11-15,C40100,P50009,6,145.01,Shipped
O60067,2024-07-30,2024-08-08,C40153,P50039,4,67.47,Shipped
O60068,2024-08-30,2024-09-06,C40025,P50013,7,43.44,Shipped
O60069,2024-12-24,2024-12-29,C40296,P50014,5,86.13,Shipped
O60070,2025-07-25,2025-08-01,C40157,P50012,9,91.42,Shipped
O60071,2025-11-11,2025-11-14,C40208,P50052,1,47.45,Shipped
O60072,2025-06-17,2025-06-24,C40096,P50053,5,123.25,Shipped
O60073,2025-01-05,2025-01-14,C40207,P50048,5,64.75,Pending
O60074,2025-12-15,2025-12-18,C40263,P50001,3,112.35,Pending
O60075,2024-05-12,2024-05-12,C40173,P50015,7,34.9,Shipped
O60076,2024-12-10,2024-12-17,C40063,P50052,4,46.33,Shipped
O60077,2024-06-29,2024-07-07,C40205,P50033,7,60.54,Shipped
O60078,2024-05-01,2024-05-09,C40256,P50002,9,51.32,Shipped
O60079,2024-10-16,2024-10-25,C40208,P50014,8,78.18,Shipped
O60080,2025-07-13,2025-07-16,C40199,P50049,6,90.63,Shipped
O60081,2024-08-21,2024-08-30,C40139,P50052,7,60.27,Shipped
O60082,2025-08-21,2025-08-23,C40056,P50025,8,46.48,Shipped
O60083,2025-03-22,2025-03-27,C40215,P50009,9,135.29,Shipped
O60084,2025-06-01,2025-06-09,C40121,P50004,7,91.21,Pending
O60085,2024-06-26,2024-07-05,C40069,P50013,9,61.66,Shipped
